trade_date,ticker,side,setup,impulse_type,signal_time_ist,entry_time_ist,entry_price,sl_price,target_price,exit_time_ist,exit_price,outcome,pnl_pct,pnl_pct_gross,adx_signal,rsi_signal,stochk_signal,avwap_dist_atr_signal,ema20_gap_atr_signal,atr_pct_signal,quality_score,position_size_rs,leverage,notional_rs,pnl_rs_gross,pnl_rs,pnl_pct_on_margin,pnl_pct_gross_on_margin
2025-08-26,BHARATRAS,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-26 09:30:00+05:30,2025-08-26 09:35:00+05:30,2541.4916,2560.552787,2510.9937007999997,2025-08-26 10:30:00+05:30,2560.552787,SL,-0.8810405202601358,-0.7500000000000097,54.19639587402344,29.824562072753906,51.440330505371094,1.220871754579786,2.373219511023315,0.00643475350200614,0.8236525570514626,50000,5.0,250000.0,-1875.0000000000243,-2202.6013006503395,-4.4052026013006795,-3.7500000000000484
2025-08-26,DEEPAKFERT,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-26 09:30:00+05:30,2025-08-26 09:35:00+05:30,1473.7052,1484.7579890000002,1456.0207376,2025-08-26 09:45:00+05:30,1469.5955510253905,BE,0.14916273914967282,0.2788650657275028,55.96985626220703,12.526538848876953,4.320713043212891,1.5374510945519417,4.8220247606506135,0.0043429420640564214,0.8790539415465897,50000,5.0,250000.0,697.162664318757,372.90684787418206,0.7458136957483642,1.3943253286375141
2025-08-26,GLOBUSSPR,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-26 09:40:00+05:30,2025-08-26 09:45:00+05:30,1210.2579,1219.33483425,1195.7348052,2025-08-26 09:50:00+05:30,1219.33483425,SL,-0.8810405202601099,-0.7500000000000018,41.47246551513672,28.13559341430664,6.850689888000488,3.083704843266783,2.580792659354232,0.0032882718236439956,0.8320869827270507,50000,5.0,250000.0,-1875.0000000000045,-2202.601300650275,-4.40520260130055,-3.750000000000009
2025-08-26,GOODLUCK,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-26 13:20:00+05:30,2025-08-26 13:25:00+05:30,1116.4766111816407,1124.850185765503,1103.078891847461,2025-08-26 14:15:00+05:30,1124.850185765503,SL,-0.8810405202601181,-0.7500000000000052,42.96451950073242,41.10429382324219,25.952381134033203,4.478845244998063,2.2428913665275343,0.0030697210024951786,0.8544677925109863,50000,5.0,250000.0,-1875.000000000013,-2202.6013006502953,-4.405202601300591,-3.750000000000026
2025-08-26,HINDPETRO,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-26 09:40:00+05:30,2025-08-26 09:45:00+05:30,386.62267220458983,389.52234224612425,381.98320013813475,2025-08-26 11:00:00+05:30,383.6976377563476,BE,0.627479494954873,0.7565605068019351,44.413692474365234,0.0,11.619232177734375,1.7255109349467475,3.1846240905949226,0.002493627361975241,0.8281698007311593,50000,5.0,250000.0,1891.4012670048378,1568.6987373871825,3.137397474774365,3.782802534009676
2025-08-26,KEC,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-26 09:35:00+05:30,2025-08-26 09:40:00+05:30,808.3882777954102,814.4511898788759,798.6876184618653,2025-08-26 11:55:00+05:30,814.4511898788759,SL,-0.8810405202601207,-0.7500000000000123,44.53861618041992,16.5289249420166,4.87594747543335,1.7179112174042912,3.886437325277512,0.0038946589304026395,0.8287137057520497,50000,5.0,250000.0,-1875.0000000000307,-2202.6013006503017,-4.405202601300603,-3.7500000000000617
2025-08-26,KSOLVES,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-26 09:40:00+05:30,2025-08-26 09:45:00+05:30,319.936,322.33552,316.096768,2025-08-26 10:10:00+05:30,322.33552,SL,-0.881040520260111,-0.7499999999999986,46.6063232421875,16.477272033691406,1.6370227336883545,1.9668685192385051,3.403754358989678,0.004630972856064965,0.9032968394995509,50000,5.0,250000.0,-1874.9999999999964,-2202.6013006502776,-4.405202601300555,-3.749999999999993
2025-08-26,MGL,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-26 09:35:00+05:30,2025-08-26 09:40:00+05:30,1300.0399888183595,1309.7902887344972,1284.4395089525392,2025-08-26 10:50:00+05:30,1294.8729999999998,BE,0.26790036151357877,0.3974484525707592,44.872005462646484,12.711864471435547,6.92741584777832,1.9245888375228124,5.007304111560775,0.0031853430359101284,0.8698831285061894,50000,5.0,250000.0,993.621131426898,669.7509037839469,1.339501807567894,1.9872422628537962
2025-08-26,PGIL,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-26 09:35:00+05:30,2025-08-26 09:40:00+05:30,1302.6394444091798,1312.4092402422486,1287.0077710762696,2025-08-26 09:45:00+05:30,1289.858,BE,0.8524070286465667,0.9811958684374797,44.099327087402344,5.642633438110352,2.9643185138702393,1.6234072220807112,5.21787842471629,0.005968808650530688,0.8055861701751597,50000,5.0,250000.0,2452.989671093699,2131.0175716164167,4.262035143232834,4.905979342187399
2025-08-26,RCF,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-26 09:35:00+05:30,2025-08-26 09:40:00+05:30,152.97000427246093,154.1172793045044,151.1343642211914,2025-08-26 14:30:00+05:30,152.77000427246094,EOD,0.0008496072639427453,0.13074458679085915,57.9224853515625,10.458453178405762,4.6147027015686035,1.555652647067932,5.431388472556786,0.005388634586475869,0.8822392132368879,50000,5.0,250000.0,326.86146697714787,2.1240181598568633,0.004248036319713727,0.6537229339542957
2025-08-28,AAVAS,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-28 09:30:00+05:30,2025-08-28 09:35:00+05:30,1537.1925,1548.7214437500002,1518.74619,2025-08-28 10:00:00+05:30,1548.7214437500002,SL,-0.8810405202601271,-0.7500000000000034,44.57096481323242,15.165441513061523,0.9429801106452942,1.2619496981180736,5.52922205663003,0.006997520444376236,0.7494056693691491,50000,5.0,250000.0,-1875.0000000000086,-2202.6013006503176,-4.405202601300635,-3.7500000000000173
2025-08-28,ELECON,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-28 09:30:00+05:30,2025-08-28 09:35:00+05:30,544.5910722045899,548.6755052461243,538.0559793381348,2025-08-28 09:55:00+05:30,548.6755052461243,SL,-0.8810405202601294,-0.7500000000000053,54.67660140991211,18.00766372680664,4.3172149658203125,1.4945328942652616,4.911618866093471,0.004992072843913469,0.8715432564964207,50000,5.0,250000.0,-1875.0000000000134,-2202.6013006503235,-4.405202601300648,-3.750000000000027
2025-08-28,ETERNAL,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-28 14:00:00+05:30,2025-08-28 14:05:00+05:30,314.4371,316.79537825,310.66385479999997,2025-08-28 14:25:00+05:30,316.79537825,SL,-0.881040520260126,-0.7500000000000039,53.7156867980957,8.035714149475098,1.7676767110824585,7.382709795823449,3.737320955660328,0.0021452408231827104,0.96,50000,5.0,250000.0,-1875.0000000000098,-2202.6013006503154,-4.405202601300631,-3.750000000000019
2025-08-28,GMRP&UI,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-28 09:30:00+05:30,2025-08-28 09:35:00+05:30,111.95,112.78962500000002,110.6066,2025-08-28 09:45:00+05:30,112.78962500000002,SL,-0.8810405202601223,-0.750000000000011,56.31503677368164,17.843137741088867,4.277041435241699,1.4625408226442473,5.85990314995239,0.004323593455994415,0.8659446439627432,50000,5.0,250000.0,-1875.0000000000275,-2202.601300650306,-4.405202601300612,-3.7500000000000546
2025-08-28,IREDA,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-28 09:30:00+05:30,2025-08-28 09:35:00+05:30,141.95,143.014625,140.2466,2025-08-28 09:55:00+05:30,143.014625,SL,-0.8810405202601214,-0.7500000000000048,42.808467864990234,14.19558334350586,11.244518280029297,1.7188437408693062,4.807217703062229,0.0031158596429252386,0.8029246726269821,50000,5.0,250000.0,-1875.0000000000118,-2202.6013006503035,-4.405202601300607,-3.7500000000000235
2025-08-28,JWL,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-28 13:00:00+05:30,2025-08-28 13:05:00+05:30,321.9356,324.35011700000007,318.07237280000004,2025-08-28 14:15:00+05:30,321.26088775634764,BE,0.0797874374657831,0.20957987984316725,42.38331985473633,25.490196228027344,7.477288722991943,4.611025110806621,2.891149937144758,0.002074090590388138,0.8457497978210449,50000,5.0,250000.0,523.9496996079182,199.46859366445776,0.3989371873289155,1.0478993992158365
2025-08-28,TIINDIA,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-28 14:00:00+05:30,2025-08-28 14:05:00+05:30,2937.8122223632813,2959.8458140310063,2902.558475694922,2025-08-28 14:30:00+05:30,2940.0,EOD,-0.20463151276090003,-0.07446962130747642,53.890926361083984,17.782426834106445,1.6887233257293701,5.520037059854022,3.0250407452563097,0.0024909597500735736,0.96,50000,5.0,250000.0,-186.17405326869104,-511.57878190225006,-1.0231575638045003,-0.3723481065373821
2025-08-28,USHAMART,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-28 10:40:00+05:30,2025-08-28 10:45:00+05:30,382.0235861022949,384.8887629980622,377.43930306906736,2025-08-28 11:15:00+05:30,380.9393877563476,BE,0.1541081307050946,0.28380403341300053,29.755067825317383,31.707317352294922,2.572373867034912,2.7837036050892583,3.3722006494618384,0.003539674258765604,0.6563260173797607,50000,5.0,250000.0,709.5100835325013,385.2703267627365,0.770540653525473,1.4190201670650027
2025-08-28,WABAG,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-28 09:30:00+05:30,2025-08-28 09:35:00+05:30,1489.702,1500.874765,1471.825576,2025-08-28 09:45:00+05:30,1500.874765,SL,-0.8810405202601141,-0.7500000000000018,62.295345306396484,9.636651039123535,3.005150079727173,1.3239676243982736,6.394273665922728,0.004810133854037838,0.8416943342696979,50000,5.0,250000.0,-1875.0000000000045,-2202.6013006502853,-4.405202601300571,-3.750000000000009
2025-08-28,WOCKPHARMA,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-28 13:50:00+05:30,2025-08-28 13:55:00+05:30,1442.2115,1453.02808625,1424.9049619999998,2025-08-28 14:30:00+05:30,1447.199951171875,EOD,-0.47640392958605204,-0.3458890164081422,45.780006408691406,23.371646881103516,12.018255233764648,7.5794236233169565,3.3997314048532195,0.0022332260885519627,0.896700096130371,50000,5.0,250000.0,-864.7225410203554,-1191.0098239651302,-2.38201964793026,-1.7294450820407106
2025-08-29,BIKAJI,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-29 09:35:00+05:30,2025-08-29 09:40:00+05:30,779.844,785.6928300000001,770.4858720000001,2025-08-29 10:25:00+05:30,774.3661377563476,BE,0.5732791013054963,0.7024305173409621,37.77387619018555,11.990407943725586,6.601012229919434,1.7931410069640268,4.781217663230364,0.003154357668530504,0.7404078190714878,50000,5.0,250000.0,1756.0762933524052,1433.1977532637409,2.866395506527482,3.51215258670481
