trade_date,ticker,side,setup,impulse_type,signal_time_ist,entry_time_ist,entry_price,sl_price,target_price,exit_time_ist,exit_price,outcome,pnl_pct,pnl_pct_gross,adx_signal,rsi_signal,stochk_signal,avwap_dist_atr_signal,ema20_gap_atr_signal,atr_pct_signal,quality_score,position_size_rs,pnl_rs
2025-08-26,GODIGIT,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-26 10:00:00+05:30,2025-08-26 10:15:00+05:30,362.12756,364.84351670000007,357.78202928,2025-08-26 10:45:00+05:30,361.08,BE,0.15959049915735496,0.28927928048338347,29.621336182573003,12.91666666515981,4.94720276170187,1.36381465623676,3.313014669985629,0.0052067954093584605,0.542987607580028,50000,79.79524957867748
2025-09-01,UBL,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-09-01 10:00:00+05:30,2025-09-01 10:15:00+05:30,1813.33726,1826.9372894500002,1791.57721288,2025-09-01 10:30:00+05:30,1805.5002999999997,BE,0.30268144645769557,0.4321843582478594,29.276032606472384,8.085106382817969,7.107796312286287,0.9443100115489869,2.943791482400234,0.005790868276420598,0.4643947411181584,50000,151.34072322884776
2025-09-04,NAZARA,SHORT,A_PULLBACK_C2_THEN_BREAK_C2_LOW,MODERATE,2025-09-04 10:45:00+05:30,2025-09-04 11:15:00+05:30,278.9442,281.03628150000003,275.59686960000005,2025-09-04 11:45:00+05:30,277.6304,BE,0.3415378165113482,0.4709902553987552,57.600096778656315,22.65624999752187,21.96256626636351,1.3176051021724513,2.8255609086999423,0.006861239119303624,0.840580892880179,50000,170.7689082556741
2025-09-04,ZUARI,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-09-04 10:15:00+05:30,2025-09-04 10:30:00+05:30,312.03758000000005,314.37786185000004,308.29312904000005,2025-09-04 10:45:00+05:30,307.5198,BE,1.319650111418052,1.4478320207457296,42.80166082976173,34.595162985311575,19.519179177206166,1.1434403968064208,2.3939559381139106,0.015737338232944546,0.7021269818875495,50000,659.8250557090261
2025-09-05,UPL,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-09-05 11:00:00+05:30,2025-09-05 11:15:00+05:30,692.41149,697.604576175,684.1025521199999,2025-09-05 12:00:00+05:30,688.5595,BE,0.42697368618643605,0.5563151472255321,39.748596043073896,28.1306715049228,21.244975476638608,1.1998350473504664,2.423704196458743,0.0049227311621769295,0.6662000739324401,50000,213.48684309321803
2025-09-08,APOLLOHOSP,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-09-08 10:45:00+05:30,2025-09-08 11:00:00+05:30,7765.9465,7824.1910987500005,7672.755142,2025-09-08 14:30:00+05:30,7800.0,EOD,-0.5691331061354445,-0.4384977413892818,39.35455197720549,31.93069306908562,19.475655430711587,1.3198463915170862,2.346119237646709,0.0033010887156098277,0.6812913981735724,50000,-284.5665530677223
2025-09-08,ELGIEQUIP,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-09-08 10:15:00+05:30,2025-09-08 10:30:00+05:30,474.4051,477.96313825000004,468.7122388,2025-09-08 14:30:00+05:30,474.2,EOD,-0.08677570797447001,0.04323309340477491,31.364059050821684,46.36871508017224,45.9119496855346,0.8439115672667592,1.222591380724402,0.005283757338551837,0.4392749790702282,50000,-43.387853987235005
2025-09-08,ERIS,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-09-08 11:00:00+05:30,2025-09-08 11:15:00+05:30,1707.95834,1720.76802755,1687.4628399199999,2025-09-08 12:30:00+05:30,1720.76802755,SL,-0.881040520260126,-0.750000000000002,52.99856896284895,27.32447817764239,36.88888888888908,1.1381237741626822,1.997722655616289,0.005702087841394252,0.809057793259284,50000,-440.52026013006304
2025-09-08,GRINFRA,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-09-08 10:15:00+05:30,2025-09-08 10:30:00+05:30,1269.8459799999998,1279.36982485,1254.60782824,2025-09-08 10:45:00+05:30,1279.36982485,SL,-0.8810405202601277,-0.7500000000000127,26.003751029855596,8.943089430385484,9.699697256424162,1.6127196732212432,3.753625093449542,0.0031471282454760157,0.5322822082615515,50000,-440.52026013006383
2025-09-08,PARADEEP,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-09-08 11:15:00+05:30,2025-09-08 11:30:00+05:30,188.16,189.5712,185.90207999999998,2025-09-08 11:45:00+05:30,186.95919999999998,BE,0.5089452889710333,0.6381802721088516,42.8513545135184,4.925469863454538,3.7679894764049866,2.59957590042767,4.255801254298055,0.010629590050248954,0.8527703177027759,50000,254.47264448551664
