trade_date,ticker,setup,impulse_type,signal_time_ist,entry_time_ist,entry_price,sl_price,target_price,exit_time_ist,exit_price,outcome,pnl_pct,adx_signal,rsi_signal,stochk_signal,avwap_dist_atr_signal,ema20_gap_atr_signal,atr_pct_signal,quality_score,side,position_size_rs,pnl_rs
2025-08-26,BANKBARODA,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-26 11:00:00+05:30,2025-08-26 11:15:00+05:30,237.89999999999998,240.27899999999997,235.521,2025-08-26 14:30:00+05:30,236.2,EOD,0.7145859604875952,49.84284791997237,25.331125821942933,27.139364303178567,1.1012907853182339,2.6090859623991776,0.003202684612105972,0.8003686062302764,SHORT,50000,357.29298024379756
2025-08-26,GODIGIT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-26 10:00:00+05:30,2025-08-26 10:15:00+05:30,362.12756,365.7488356,358.5062844,2025-08-26 10:45:00+05:30,362.163772756,BE,-0.009999999999999344,29.621336182573003,12.91666666515981,4.94720276170187,1.36381465623676,3.313014669985629,0.0052067954093584605,0.542987607580028,SHORT,50000,-4.999999999999672
2025-08-26,KPIL,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-26 10:15:00+05:30,2025-08-26 10:30:00+05:30,1260.2479,1272.850379,1247.6454210000002,2025-08-26 11:15:00+05:30,1260.37392479,BE,-0.009999999999997938,55.02043400038531,22.14650766557068,14.470104285734534,1.3987682394695213,3.524687790524984,0.005526738997485819,0.8547844419071662,SHORT,50000,-4.999999999998969
2025-08-29,ALKYLAMINE,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-29 10:00:00+05:30,2025-08-29 10:15:00+05:30,2005.0989,2025.149889,1985.0479109999999,2025-08-29 11:00:00+05:30,2025.149889,SL,-1.0000000000000036,50.367745490410016,17.977528089483727,25.87327730882755,0.6908970394070956,2.9424811900621246,0.005887420000142375,0.7309069818962417,SHORT,50000,-500.00000000000176
2025-08-29,CANFINHOME,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-29 10:00:00+05:30,2025-08-29 10:15:00+05:30,715.8568,723.0153680000001,708.698232,2025-08-29 14:15:00+05:30,708.698232,TARGET,1.0000000000000082,46.61342284583688,16.320474776092155,3.4024003076232194,1.690295109204594,4.0312183411836084,0.004067674944916908,0.8550029867983571,SHORT,50000,500.0000000000041
2025-08-29,HDFCBANK,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-29 13:00:00+05:30,2025-08-29 13:15:00+05:30,953.00936,962.5394536,943.4792664,2025-08-29 14:30:00+05:30,953.7,EOD,-0.07246938267217337,41.143251833617455,25.3164556939592,11.987650377940613,2.305056197675198,2.456810573385383,0.002351249756638152,0.8271487775042619,SHORT,50000,-36.234691336086684
2025-08-29,MUTHOOTFIN,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-29 10:00:00+05:30,2025-08-29 10:15:00+05:30,2609.27804,2635.3708204,2583.1852596000003,2025-08-29 11:00:00+05:30,2635.3708204,SL,-0.9999999999999928,27.538377355904565,12.485549132745263,1.4065346642667016,1.7673019471549314,4.311679139648784,0.004496269984182317,0.5823535010906815,SHORT,50000,-499.99999999999636
2025-09-01,IPCALAB,A_MOD_BREAK_C1_LOW,MODERATE,2025-09-01 11:00:00+05:30,2025-09-01 11:15:00+05:30,1363.7272,1377.364472,1350.089928,2025-09-01 14:15:00+05:30,1363.86357272,BE,-0.010000000000003957,42.76726937053879,24.18699186923051,8.700339611216064,1.4303497122145197,2.851828540174378,0.004585331127907739,0.7518202401956229,SHORT,50000,-5.000000000001978
2025-09-01,UBL,A_MOD_BREAK_C1_LOW,MODERATE,2025-09-01 10:00:00+05:30,2025-09-01 10:15:00+05:30,1813.33726,1831.4706326,1795.2038874,2025-09-01 10:45:00+05:30,1813.518593726,BE,-0.010000000000002649,29.276032606472384,8.085106382817969,7.107796312286287,0.9443100115489869,2.943791482400234,0.005790868276420598,0.4643947411181584,SHORT,50000,-5.000000000001324
2025-09-04,NAZARA,A_PULLBACK_C2_THEN_BREAK_C2_LOW,MODERATE,2025-09-04 10:45:00+05:30,2025-09-04 11:15:00+05:30,278.9442,281.73364200000003,276.154758,2025-09-04 11:45:00+05:30,278.97209442,BE,-0.009999999999998399,57.600096778656315,22.65624999752187,21.96256626636351,1.3176051021724513,2.8255609086999423,0.006861239119303624,0.840580892880179,SHORT,50000,-4.999999999999199
